lane_id,supplier_id,dc_id,distance_miles,cost_per_container,pallets_per_container,lead_time_days,lane_reliability,is_available
SUP_001_DC_LA,SUP_001,DC_LA,416.6,1518.75,22,1,0.926,True
SUP_001_DC_DAL,SUP_001,DC_DAL,1021.0,2706.95,20,3,0.866,True
SUP_001_DC_CHI,SUP_001,DC_CHI,1768.2,3686.79,24,4,0.929,True
SUP_001_DC_NY,SUP_001,DC_NY,2530.3,6147.48,20,6,0.868,True
SUP_002_DC_LA,SUP_002,DC_LA,432.7,1604.01,22,1,0.909,True
SUP_002_DC_DAL,SUP_002,DC_DAL,1022.1,2713.83,22,3,0.944,True
SUP_002_DC_CHI,SUP_002,DC_CHI,1750.7,3554.88,26,4,0.897,True
SUP_002_DC_NY,SUP_002,DC_NY,2380.0,4919.99,22,5,0.858,True
SUP_003_DC_LA,SUP_003,DC_LA,392.0,1315.18,24,1,0.944,True
SUP_003_DC_DAL,SUP_003,DC_DAL,1579.7,3529.97,26,4,0.907,True
SUP_003_DC_CHI,SUP_003,DC_CHI,2097.3,4621.42,24,5,0.952,True
SUP_003_DC_NY,SUP_003,DC_NY,3044.2,6187.07,20,7,0.962,True
SUP_004_DC_LA,SUP_004,DC_LA,1517.4,3156.51,26,4,0.915,True
SUP_004_DC_DAL,SUP_004,DC_DAL,245.2,1243.14,20,1,0.967,True
SUP_004_DC_CHI,SUP_004,DC_CHI,1139.4,2710.92,22,3,0.88,True
SUP_004_DC_NY,SUP_004,DC_NY,1542.6,3240.6,26,4,0.98,True
SUP_005_DC_LA,SUP_005,DC_LA,1075.4,2496.63,26,3,0.986,True
SUP_005_DC_DAL,SUP_005,DC_DAL,1941.7,4099.36,24,4,0.92,True
SUP_005_DC_CHI,SUP_005,DC_CHI,1909.8,4278.93,20,4,0.86,True
SUP_005_DC_NY,SUP_005,DC_NY,2729.9,5489.27,22,6,0.861,True
SUP_006_DC_LA,SUP_006,DC_LA,2294.3,5237.22,24,5,0.95,True
SUP_006_DC_DAL,SUP_006,DC_DAL,1134.6,3102.32,24,3,0.981,False
SUP_006_DC_CHI,SUP_006,DC_CHI,276.6,1121.97,20,1,0.887,True
SUP_006_DC_NY,SUP_006,DC_NY,578.3,1665.51,22,2,0.967,True
SUP_007_DC_LA,SUP_007,DC_LA,2300.6,5347.72,20,5,0.98,True
SUP_007_DC_DAL,SUP_007,DC_DAL,1097.7,2417.76,24,3,0.927,True
SUP_007_DC_CHI,SUP_007,DC_CHI,321.0,1318.07,24,1,0.887,True
SUP_007_DC_NY,SUP_007,DC_NY,574.7,1680.03,20,2,0.889,False
SUP_008_DC_LA,SUP_008,DC_LA,2110.5,4372.06,24,5,0.949,True
SUP_008_DC_DAL,SUP_008,DC_DAL,675.2,2151.86,22,2,0.932,True
SUP_008_DC_CHI,SUP_008,DC_CHI,436.4,1650.72,24,1,0.986,True
SUP_008_DC_NY,SUP_008,DC_NY,857.2,2349.74,22,2,0.928,True
SUP_009_DC_LA,SUP_009,DC_LA,2400.6,5476.27,22,5,0.873,True
SUP_009_DC_DAL,SUP_009,DC_DAL,1008.1,2534.53,26,3,0.897,True
SUP_009_DC_CHI,SUP_009,DC_CHI,328.6,1381.0,22,1,0.865,True
SUP_009_DC_NY,SUP_009,DC_NY,571.6,1870.17,22,2,0.899,True
SUP_010_DC_LA,SUP_010,DC_LA,1627.9,3262.49,22,4,0.896,True
SUP_010_DC_DAL,SUP_010,DC_DAL,551.9,1735.04,24,2,0.945,True
SUP_010_DC_CHI,SUP_010,DC_CHI,464.5,1660.49,20,1,0.875,True
SUP_010_DC_NY,SUP_010,DC_NY,1221.7,3010.65,20,3,0.96,True
SUP_011_DC_LA,SUP_011,DC_LA,2163.5,4808.85,20,5,0.886,True
SUP_011_DC_DAL,SUP_011,DC_DAL,665.7,1781.53,22,2,0.943,True
SUP_011_DC_CHI,SUP_011,DC_CHI,446.8,1550.36,20,1,0.893,True
SUP_011_DC_NY,SUP_011,DC_NY,862.0,2240.0,24,2,0.943,True
SUP_012_DC_LA,SUP_012,DC_LA,2338.3,5102.66,22,5,0.927,False
SUP_012_DC_DAL,SUP_012,DC_DAL,1022.2,2861.62,26,3,0.895,True
SUP_012_DC_CHI,SUP_012,DC_CHI,323.7,1500.95,26,1,0.953,True
SUP_012_DC_NY,SUP_012,DC_NY,533.3,1779.2,24,2,0.883,True
SUP_013_DC_LA,SUP_013,DC_LA,431.2,1372.24,22,1,0.917,True
SUP_013_DC_DAL,SUP_013,DC_DAL,1567.7,4049.27,26,4,0.951,True
SUP_013_DC_CHI,SUP_013,DC_CHI,2032.3,4286.24,22,5,0.955,True
SUP_013_DC_NY,SUP_013,DC_NY,2737.1,5929.07,26,6,0.947,True
SUP_014_DC_LA,SUP_014,DC_LA,2765.7,6299.61,20,6,0.943,True
SUP_014_DC_DAL,SUP_014,DC_DAL,1509.4,3836.9,26,4,0.921,True
SUP_014_DC_CHI,SUP_014,DC_CHI,767.6,2256.67,22,2,0.886,True
SUP_014_DC_NY,SUP_014,DC_NY,94.2,859.82,26,1,0.861,True
SUP_015_DC_LA,SUP_015,DC_LA,1514.2,3563.66,24,4,0.871,True
SUP_015_DC_DAL,SUP_015,DC_DAL,500.2,1542.07,22,2,0.926,True
SUP_015_DC_CHI,SUP_015,DC_CHI,457.3,1648.16,26,1,0.982,False
SUP_015_DC_NY,SUP_015,DC_NY,1315.8,3495.9,26,3,0.892,True
SUP_016_DC_LA,SUP_016,DC_LA,1651.7,4081.42,26,4,0.962,True
